Machine_ID,Machine_Type,Installation_Year,Operational_Hours,Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,Last_Maintenance_Days_Ago,Maintenance_History_Count,Failure_History_Count,AI_Supervision,Error_Codes_Last_30_Days,Remaining_Useful_Life_days,Failure_Within_7_Days,Laser_Intensity,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,AI_Override_Events
MC_000162,Valve_Controller,2017,21288,54.88,9.09,69.31,87.36,74.91,89.08,217,5,1,TRUE,2,820,FALSE,,,,,2
MC_000376,Robot_Arm,2015,73890,73.2,8.71,61.68,82.39,65.52,201.37,185,6,2,FALSE,4,207,FALSE,,,,,0
MC_000481,Pump,2020,42862,56.58,14.62,65.44,89.17,73.31,146.54,195,5,2,FALSE,3,474,FALSE,,,,,0
MC_000488,Compressor,2021,37269,75.11,11.45,87.9,39.44,59.51,219.93,148,6,2,TRUE,4,612,FALSE,,,,,2
MC_000507,Palletizer,2017,22895,65.56,15.44,93.48,95.83,74.9,51.6,187,4,1,TRUE,3,645,FALSE,,,,,2
MC_000540,Heat_Exchanger,2022,30397,83.44,8.29,60.08,47.45,32.39,147.77,5,5,6,FALSE,2,599,FALSE,,,,515.82,0
MC_000541,Press_Brake,2025,53847,59.49,5.91,94.52,62.25,64.63,160.73,320,3,0,FALSE,3,405,FALSE,,,,,0
MC_000554,Crane,2015,92261,43.9,9.69,77.2,57.81,38.82,223.37,104,6,0,FALSE,2,87,FALSE,,,,,0
MC_000580,3D_Printer,2020,98705,83.89,7.7,85.09,88.39,79.44,171.82,214,8,1,FALSE,3,0,TRUE,,,,,0
MC_000588,AGV,2023,54025,41.77,2.48,76.85,66.96,52.93,179.09,349,3,2,FALSE,2,437,FALSE,,,,,0
MC_000609,Furnace,2019,79142,54.79,0.87,71.93,68.37,35.45,31.88,3,6,0,TRUE,1,187,FALSE,,,,530.93,4
MC_000638,Carton_Former,2018,24159,42.85,3.16,61.01,49.92,83.58,158.35,172,5,2,TRUE,3,869,FALSE,,,,,0
MC_000663,3D_Printer,2016,3766,35.79,8.22,73.54,39.93,79.44,155.1,163,4,2,TRUE,3,896,FALSE,,,,,3
MC_000712,CNC_Lathe,2022,7134,65.65,7.07,74.32,51.99,99.94,119.04,169,8,0,FALSE,2,847,FALSE,,,20.5,,0
